央视频道,#genre#
CCTV10,http://221.232.41.40:8888/rtp/239.69.1.105:10268$湖北电信
CCTV11,http://221.232.41.40:8888/rtp/239.69.1.154:10560$湖北电信
CCTV12,http://221.232.41.40:8888/rtp/239.69.1.106:10274$湖北电信
CCTV13,http://221.232.41.40:8888/rtp/239.254.96.161:9040$湖北电信
CCTV14,http://221.232.41.40:8888/rtp/239.69.1.107:10280$湖北电信
CCTV15,http://221.232.41.40:8888/rtp/239.69.1.155:10566$湖北电信
CCTV16,http://221.232.41.40:8888/rtp/239.69.1.247:11124$湖北电信
CCTV17,http://221.232.41.40:8888/rtp/239.69.1.152:10548$湖北电信
CCTV4K,http://221.232.41.40:8888/rtp/239.69.1.12:9712$湖北电信
兵器科技,http://221.232.41.40:8888/rtp/239.69.1.79:10114$湖北电信
风云足球,http://221.232.41.40:8888/rtp/239.69.1.81:10126$湖北电信
第一剧场,http://221.232.41.40:8888/rtp/239.69.1.74:10084$湖北电信
世界地理,http://221.232.41.40:8888/rtp/239.69.1.91:10186$湖北电信
央视台球,http://221.232.41.40:8888/rtp/239.69.1.98:10224$湖北电信
高尔夫网球,http://221.232.41.40:8888/rtp/239.69.1.83:10138$湖北电信
CCTV1,http://221.232.41.227:8888/rtp/239.254.96.96:8550$湖北电信
CCTV2,http://221.232.41.227:8888/rtp/239.69.1.102:10250$湖北电信
CCTV3,http://221.232.41.227:8888/rtp/239.69.1.122:10370$湖北电信
CCTV4,http://221.232.41.227:8888/rtp/239.69.1.138:10466$湖北电信
CCTV4欧洲,http://221.232.41.227:8888/rtp/239.69.1.231:11028$湖北电信
CCTV4美洲,http://221.232.41.227:8888/rtp/239.69.1.232:11034$湖北电信
CCTV5,http://221.232.41.227:8888/rtp/239.69.1.123:10376$湖北电信
CCTV5+,http://221.232.41.227:8888/rtp/239.254.96.234:9484$湖北电信
CCTV6,http://221.232.41.227:8888/rtp/239.69.1.124:10382$湖北电信
CCTV7,http://221.232.41.227:8888/rtp/239.69.1.103:10256$湖北电信
CCTV8,http://221.232.41.227:8888/rtp/239.69.1.125:10388$湖北电信
CCTV9,http://221.232.41.227:8888/rtp/239.69.1.104:10262$湖北电信
CCTV10,http://221.232.41.227:8888/rtp/239.69.1.105:10268$湖北电信
CCTV11,http://221.232.41.227:8888/rtp/239.69.1.154:10560$湖北电信
CCTV12,http://221.232.41.227:8888/rtp/239.69.1.106:10274$湖北电信
CCTV13,http://221.232.41.227:8888/rtp/239.254.96.161:9040$湖北电信
CCTV14,http://221.232.41.227:8888/rtp/239.69.1.107:10280$湖北电信
CCTV15,http://221.232.41.227:8888/rtp/239.69.1.155:10566$湖北电信
CCTV16,http://221.232.41.227:8888/rtp/239.69.1.247:11124$湖北电信
CCTV17,http://221.232.41.227:8888/rtp/239.69.1.152:10548$湖北电信
CCTV4K,http://221.232.41.227:8888/rtp/239.69.1.12:9712$湖北电信
兵器科技,http://221.232.41.227:8888/rtp/239.69.1.79:10114$湖北电信
风云足球,http://221.232.41.227:8888/rtp/239.69.1.81:10126$湖北电信
第一剧场,http://221.232.41.227:8888/rtp/239.69.1.74:10084$湖北电信
世界地理,http://221.232.41.227:8888/rtp/239.69.1.91:10186$湖北电信
央视台球,http://221.232.41.227:8888/rtp/239.69.1.98:10224$湖北电信
高尔夫网球,http://221.232.41.227:8888/rtp/239.69.1.83:10138$湖北电信

卫视频道,#genre#
湖南卫视,http://183.220.107.138:4022/rtp/239.11.0.87:5140$四川移动
湖南卫视,http://183.220.107.138:4022/rtp/239.11.0.119:5140$四川移动
浙江卫视,http://183.220.107.138:4022/rtp/239.11.0.89:5140$四川移动
浙江卫视,http://183.220.107.138:4022/rtp/239.11.0.70:5140$四川移动
江苏卫视,http://183.220.107.138:4022/rtp/239.11.0.76:5140$四川移动
东方卫视,http://183.220.107.138:4022/rtp/239.11.0.90:5140$四川移动
东方卫视,http://183.220.107.138:4022/rtp/239.11.0.68:5140$四川移动
深圳卫视,http://183.220.107.138:4022/rtp/239.10.0.93:5140$四川移动
深圳卫视,http://183.220.107.138:4022/rtp/239.11.0.71:5140$四川移动
北京卫视,http://183.220.107.138:4022/rtp/239.10.0.91:5140$四川移动
北京卫视,http://183.220.107.138:4022/rtp/239.10.0.92:5140$四川移动
北京卫视,http://183.220.107.138:4022/rtp/239.11.0.121:5140$四川移动
广东卫视,http://183.220.107.138:4022/rtp/239.10.0.94:5140$四川移动
广东卫视,http://183.220.107.138:4022/rtp/239.11.0.115:5140$四川移动
广西卫视,http://183.220.107.138:4022/rtp/239.11.0.48:5140$四川移动
东南卫视,http://183.220.107.138:4022/rtp/239.11.0.41:5140$四川移动
海南卫视,http://183.220.107.138:4022/rtp/239.10.0.119:5140$四川移动
海南卫视,http://183.220.107.138:4022/rtp/239.11.0.193:5140$四川移动
河北卫视,http://183.220.107.138:4022/rtp/239.11.0.31:5140$四川移动
河南卫视,http://183.220.107.138:4022/rtp/239.11.0.44:5140$四川移动
湖北卫视,http://183.220.107.138:4022/rtp/239.11.0.74:5140$四川移动
江西卫视,http://183.220.107.138:4022/rtp/239.11.0.42:5140$四川移动
四川卫视,http://183.220.107.138:4022/rtp/239.11.0.43:5140$四川移动
四川卫视,http://183.220.107.138:4022/rtp/239.11.0.86:5140$四川移动
四川卫视,http://183.220.107.138:4022/rtp/239.11.0.78:5140$四川移动
重庆卫视,http://183.220.107.138:4022/rtp/239.11.0.116:5140$四川移动
贵州卫视,http://183.220.107.138:4022/rtp/239.11.0.51:5140$四川移动
云南卫视,http://183.220.107.138:4022/rtp/239.11.0.52:5140$四川移动
天津卫视,http://183.220.107.138:4022/rtp/239.11.0.123:5140$四川移动
天津卫视,http://183.220.107.138:4022/rtp/239.11.0.192:5140$四川移动
安徽卫视,http://183.220.107.138:4022/rtp/239.11.0.117:5140$四川移动
山东卫视,http://183.220.107.138:4022/rtp/239.11.0.91:5140$四川移动
山东卫视,http://183.220.107.138:4022/rtp/239.11.0.73:5140$四川移动
辽宁卫视,http://183.220.107.138:4022/rtp/239.11.0.118:5140$四川移动
黑龙江卫视,http://183.220.107.138:4022/rtp/239.11.0.36:5140$四川移动
吉林卫视,http://183.220.107.138:4022/rtp/239.11.0.35:5140$四川移动
内蒙古卫视,http://183.220.107.138:4022/rtp/239.11.0.33:5140$四川移动
宁夏卫视,http://183.220.107.138:4022/rtp/239.11.0.57:5140$四川移动
山西卫视,http://183.220.107.138:4022/rtp/239.11.0.32:5140$四川移动
陕西卫视,http://183.220.107.138:4022/rtp/239.11.0.54:5140$四川移动
甘肃卫视,http://183.220.107.138:4022/rtp/239.11.0.55:5140$四川移动
青海卫视,http://183.220.107.138:4022/rtp/239.11.0.56:5140$四川移动
新疆卫视,http://183.220.107.138:4022/rtp/239.11.0.58:5140$四川移动
西藏卫视,http://183.220.107.138:4022/rtp/239.11.0.53:5140$四川移动
三沙卫视,http://183.220.107.138:4022/rtp/239.10.0.116:5140$四川移动
兵团卫视,http://183.220.107.138:4022/rtp/239.11.0.204:5140$四川移动
延边卫视,http://183.220.107.138:4022/rtp/239.11.0.206:5140$四川移动
康巴卫视,http://183.220.107.138:4022/rtp/239.11.0.10:5140$四川移动
山东教育卫视,http://183.220.107.138:4022/rtp/239.11.0.140:5140$四川移动
中国教育1台,http://183.220.107.138:4022/rtp/239.11.0.139:5140$四川移动
中国教育2台,http://183.220.107.138:4022/rtp/239.11.0.246:5140$四川移动
中国教育3台,http://183.220.107.138:4022/rtp/239.11.0.247:5140$四川移动
湖南卫视,http://221.232.41.40:8888/rtp/239.254.96.139:8908$湖北电信
浙江卫视,http://221.232.41.40:8888/rtp/239.254.96.143:8932$湖北电信
江苏卫视,http://221.232.41.40:8888/rtp/239.254.96.144:8938$湖北电信
东方卫视,http://221.232.41.40:8888/rtp/239.254.96.142:8926$湖北电信
深圳卫视,http://221.232.41.40:8888/rtp/239.254.96.137:8896$湖北电信
北京卫视,http://221.232.41.40:8888/rtp/239.254.96.141:8920$湖北电信
广东卫视,http://221.232.41.40:8888/rtp/239.254.96.140:8914$湖北电信
广西卫视,http://221.232.41.40:8888/rtp/239.69.1.191:10788$湖北电信
东南卫视,http://221.232.41.40:8888/rtp/239.69.1.108:10286$湖北电信
海南卫视,http://221.232.41.40:8888/rtp/239.69.1.151:10542$湖北电信
河北卫视,http://221.232.41.40:8888/rtp/239.254.96.113:9616$湖北电信
河南卫视,http://221.232.41.40:8888/rtp/239.69.1.168:10644$湖北电信
湖北卫视,http://221.232.41.40:8888/rtp/239.254.96.115:8664$湖北电信
江西卫视,http://221.232.41.40:8888/rtp/239.69.1.126:10394$湖北电信
四川卫视,http://221.232.41.40:8888/rtp/239.69.1.169:10650$湖北电信
重庆卫视,http://221.232.41.40:8888/rtp/239.69.1.149:10530$湖北电信
贵州卫视,http://221.232.41.40:8888/rtp/239.69.1.150:10536$湖北电信
天津卫视,http://221.232.41.40:8888/rtp/239.69.1.68:10048$湖北电信
安徽卫视,http://221.232.41.40:8888/rtp/239.69.1.70:10060$湖北电信
山东卫视,http://221.232.41.40:8888/rtp/239.69.1.69:10054$湖北电信
辽宁卫视,http://221.232.41.40:8888/rtp/239.69.1.71:10066$湖北电信
黑龙江卫视,http://221.232.41.40:8888/rtp/239.254.96.138:8902$湖北电信
吉林卫视,http://221.232.41.40:8888/rtp/239.69.1.212:10914$湖北电信
中国教育1台,http://221.232.41.40:8888/rtp/239.69.1.110:10298$湖北电信
湖南卫视,http://221.232.41.227:8888/rtp/239.254.96.139:8908$湖北电信
浙江卫视,http://221.232.41.227:8888/rtp/239.254.96.143:8932$湖北电信
江苏卫视,http://221.232.41.227:8888/rtp/239.254.96.144:8938$湖北电信
东方卫视,http://221.232.41.227:8888/rtp/239.254.96.142:8926$湖北电信
深圳卫视,http://221.232.41.227:8888/rtp/239.254.96.137:8896$湖北电信
北京卫视,http://221.232.41.227:8888/rtp/239.254.96.141:8920$湖北电信
广东卫视,http://221.232.41.227:8888/rtp/239.254.96.140:8914$湖北电信
广西卫视,http://221.232.41.227:8888/rtp/239.69.1.191:10788$湖北电信
东南卫视,http://221.232.41.227:8888/rtp/239.69.1.108:10286$湖北电信
海南卫视,http://221.232.41.227:8888/rtp/239.69.1.151:10542$湖北电信
河北卫视,http://221.232.41.227:8888/rtp/239.254.96.113:9616$湖北电信
河南卫视,http://221.232.41.227:8888/rtp/239.69.1.168:10644$湖北电信
湖北卫视,http://221.232.41.227:8888/rtp/239.254.96.115:8664$湖北电信
江西卫视,http://221.232.41.227:8888/rtp/239.69.1.126:10394$湖北电信
四川卫视,http://221.232.41.227:8888/rtp/239.69.1.169:10650$湖北电信
重庆卫视,http://221.232.41.227:8888/rtp/239.69.1.149:10530$湖北电信
贵州卫视,http://221.232.41.227:8888/rtp/239.69.1.150:10536$湖北电信
天津卫视,http://221.232.41.227:8888/rtp/239.69.1.68:10048$湖北电信
安徽卫视,http://221.232.41.227:8888/rtp/239.69.1.70:10060$湖北电信
山东卫视,http://221.232.41.227:8888/rtp/239.69.1.69:10054$湖北电信
辽宁卫视,http://221.232.41.227:8888/rtp/239.69.1.71:10066$湖北电信
黑龙江卫视,http://221.232.41.227:8888/rtp/239.254.96.138:8902$湖北电信
吉林卫视,http://221.232.41.227:8888/rtp/239.69.1.212:10914$湖北电信
中国教育1台,http://221.232.41.227:8888/rtp/239.69.1.110:10298$湖北电信

数字频道,#genre#
求索纪录,http://183.220.107.138:4022/rtp/239.10.0.221:5140$四川移动
纪实人文,http://183.220.107.138:4022/rtp/239.10.0.192:5140$四川移动
金鹰纪实,http://183.220.107.138:4022/rtp/239.10.0.193:5140$四川移动
黑莓电影,http://183.220.107.138:4022/rtp/239.11.0.148:5140$四川移动
生活时尚,http://183.220.107.138:4022/rtp/239.10.0.102:5140$四川移动
都市剧场,http://183.220.107.138:4022/rtp/239.10.0.106:5140$四川移动
欢笑剧场,http://183.220.107.138:4022/rtp/239.10.0.129:5140$四川移动
游戏风云,http://183.220.107.138:4022/rtp/239.10.0.103:5140$四川移动
动漫秀场,http://183.220.107.138:4022/rtp/239.10.0.101:5140$四川移动
新动漫,http://183.220.107.138:4022/rtp/239.10.0.159:5140$四川移动
卡酷少儿,http://183.220.107.138:4022/rtp/239.11.0.129:5140$四川移动
金鹰卡通,http://183.220.107.138:4022/rtp/239.11.0.127:5140$四川移动
优漫卡通,http://183.220.107.138:4022/rtp/239.11.0.63:5140$四川移动
哈哈炫动,http://183.220.107.138:4022/rtp/239.11.0.64:5140$四川移动
嘉佳卡通,http://183.220.107.138:4022/rtp/239.11.0.203:5140$四川移动
中国天气,http://183.220.107.138:4022/rtp/239.10.0.177:5140$四川移动
CHC动作电影,http://221.232.41.40:8888/rtp/239.69.1.242:11094$湖北电信
CHC家庭影院,http://221.232.41.40:8888/rtp/239.69.1.243:11100$湖北电信
CHC影迷电影,http://221.232.41.40:8888/rtp/239.69.1.241:11088$湖北电信
金鹰纪实,http://221.232.41.40:8888/rtp/239.69.1.109:10292$湖北电信
快乐垂钓,http://221.232.41.40:8888/rtp/239.69.1.142:10488$湖北电信
茶频道,http://221.232.41.40:8888/rtp/239.69.1.144:10500$湖北电信
梨园频道,http://221.232.41.40:8888/rtp/239.69.1.33:9838$湖北电信
武术世界,http://221.232.41.40:8888/rtp/239.69.1.47:9922$湖北电信
卡酷少儿,http://221.232.41.40:8888/rtp/239.69.1.193:10800$湖北电信
金鹰卡通,http://221.232.41.40:8888/rtp/239.69.1.248:11130$湖北电信
CHC动作电影,http://221.232.41.227:8888/rtp/239.69.1.242:11094$湖北电信
CHC家庭影院,http://221.232.41.227:8888/rtp/239.69.1.243:11100$湖北电信
CHC影迷电影,http://221.232.41.227:8888/rtp/239.69.1.241:11088$湖北电信
金鹰纪实,http://221.232.41.227:8888/rtp/239.69.1.109:10292$湖北电信
快乐垂钓,http://221.232.41.227:8888/rtp/239.69.1.142:10488$湖北电信
茶频道,http://221.232.41.227:8888/rtp/239.69.1.144:10500$湖北电信
梨园频道,http://221.232.41.227:8888/rtp/239.69.1.33:9838$湖北电信
武术世界,http://221.232.41.227:8888/rtp/239.69.1.47:9922$湖北电信
卡酷少儿,http://221.232.41.227:8888/rtp/239.69.1.193:10800$湖北电信
金鹰卡通,http://221.232.41.227:8888/rtp/239.69.1.248:11130$湖北电信

4K频道,#genre#
江苏卫视4K,http://183.220.107.138:4022/rtp/239.11.0.88:5140$四川移动

湖北,#genre#
湖北公共新闻,http://221.232.41.40:8888/rtp/239.69.1.40:9880$湖北电信
湖北经视频道,http://221.232.41.40:8888/rtp/239.69.1.41:9886$湖北电信
湖北综合频道,http://221.232.41.40:8888/rtp/239.69.1.42:9892$湖北电信
湖北垄上频道,http://221.232.41.40:8888/rtp/239.69.1.43:9898$湖北电信
湖北影视频道,http://221.232.41.40:8888/rtp/239.69.1.204:10866$湖北电信
湖北生活频道,http://221.232.41.40:8888/rtp/239.69.1.205:10872$湖北电信
湖北教育频道,http://221.232.41.40:8888/rtp/239.69.1.206:10878$湖北电信
武汉新闻综合,http://221.232.41.40:8888/rtp/239.69.1.145:10506$湖北电信
武汉电视剧,http://221.232.41.40:8888/rtp/239.69.1.146:10512$湖北电信
武汉科技生活,http://221.232.41.40:8888/rtp/239.69.1.251:11148$湖北电信
武汉文体频道,http://221.232.41.40:8888/rtp/239.69.1.147:10518$湖北电信
武汉教育频道,http://221.232.41.40:8888/rtp/239.69.1.60:9994$湖北电信
阳新综合,http://221.232.41.40:8888/rtp/239.69.1.34:9844$湖北电信
房县综合,http://221.232.41.40:8888/rtp/239.69.1.192:10794$湖北电信
蔡甸综合,http://221.232.41.40:8888/rtp/239.69.1.245:11112$湖北电信
湖北公共新闻,http://221.232.41.227:8888/rtp/239.69.1.40:9880$湖北电信
湖北经视频道,http://221.232.41.227:8888/rtp/239.69.1.41:9886$湖北电信
湖北综合频道,http://221.232.41.227:8888/rtp/239.69.1.42:9892$湖北电信
湖北垄上频道,http://221.232.41.227:8888/rtp/239.69.1.43:9898$湖北电信
湖北影视频道,http://221.232.41.227:8888/rtp/239.69.1.204:10866$湖北电信
湖北生活频道,http://221.232.41.227:8888/rtp/239.69.1.205:10872$湖北电信
湖北教育频道,http://221.232.41.227:8888/rtp/239.69.1.206:10878$湖北电信
武汉新闻综合,http://221.232.41.227:8888/rtp/239.69.1.145:10506$湖北电信
武汉电视剧,http://221.232.41.227:8888/rtp/239.69.1.146:10512$湖北电信
武汉科技生活,http://221.232.41.227:8888/rtp/239.69.1.251:11148$湖北电信
武汉文体频道,http://221.232.41.227:8888/rtp/239.69.1.147:10518$湖北电信
武汉教育频道,http://221.232.41.227:8888/rtp/239.69.1.60:9994$湖北电信
阳新综合,http://221.232.41.227:8888/rtp/239.69.1.34:9844$湖北电信
房县综合,http://221.232.41.227:8888/rtp/239.69.1.192:10794$湖北电信
蔡甸综合,http://221.232.41.227:8888/rtp/239.69.1.245:11112$湖北电信

